"sentence","score"
"Chính sách chi trả cổ tức được công bố công khai.",0.75
"Ban kiểm soát thực hiện giám sát chặt chẽ hoạt động tài chính.",0.80
"Doanh nghiệp thực hiện luân phiên thành viên trong hội đồng quản trị.",0.70
"Các thành viên HĐQT phải trải qua đánh giá độc lập hàng năm.",0.85
"Chính sách phòng chống xung đột lợi ích được thực thi nghiêm ngặt.",0.90
"Hồ sơ giao dịch nội bộ được lưu trữ đầy đủ và minh bạch.",0.80
"Công ty triển khai hệ thống quản trị chất lượng ISO 9001.",0.75
"Ban lãnh đạo cam kết không sử dụng thông tin nội bộ vì lợi ích cá nhân.",0.90
"Đánh giá rủi ro hoạt động được thực hiện định kỳ.",0.80
"Doanh nghiệp công khai danh sách cổ đông lớn.",0.75
"Cơ chế giám sát thực thi chính sách ESG được thiết lập.",0.85
"Chính sách bảo vệ quyền lợi cổ đông thiểu số được áp dụng.",0.80
"Công ty có ủy ban kiểm toán độc lập.",0.85
"Các báo cáo ESG được công bố công khai trên website.",0.90
"Doanh nghiệp cam kết minh bạch trong quy trình tuyển dụng HĐQT.",0.80
"Tất cả thành viên ban điều hành ký cam kết tuân thủ quy tắc ứng xử.",0.85
"Quy trình đánh giá nhà cung cấp bao gồm tiêu chí quản trị.",0.70
"Ban lãnh đạo thường xuyên tiếp xúc cổ đông để lắng nghe phản hồi.",0.80
"Công ty áp dụng hệ thống kiểm soát nội bộ hiệu quả.",0.90
"Chương trình đào tạo về quản trị rủi ro được tổ chức định kỳ.",0.75
"Lương thưởng của HĐQT liên kết với hiệu suất bền vững.",0.85
"Doanh nghiệp không ghi nhận trường hợp vi phạm đạo đức kinh doanh.",0.90
"Báo cáo chính sách quyền sở hữu được cập nhật hàng năm.",0.80
"Cố vấn độc lập tham gia đánh giá hoạt động quản trị.",0.75
"Quy định về quà tặng cho đối tác được kiểm soát nghiêm ngặt.",0.85
"Ban kiểm soát thực hiện rà soát mọi giao dịch quỹ.",0.80
"Đại hội đồng cổ đông thông qua chiến lược bền vững.",0.90
"Các thủ tục khởi tố nội bộ được đánh giá định kỳ.",0.70
"Chính sách trả lương công khai với các cấp quản lý.",0.80
"Báo cáo tuân thủ quy định pháp luật được rà soát bởi bên thứ ba.",0.90
"Công ty thực hiện đánh giá ESG bởi tổ chức độc lập.",0.85
"Chính sách tiết lộ thông tin được áp dụng đầy đủ.",0.80
"Công ty đã triển khai hệ thống năng lượng mặt trời trên toàn bộ các nhà máy sản xuất, giúp giảm 40% lượng khí thải CO2 và tiết kiệm 2.5 triệu kWh điện mỗi năm.",0.92
"Doanh nghiệp đầu tư 15 tỷ đồng vào công nghệ xử lý nước thải tiên tiến, đảm bảo 100% nước thải được xử lý đạt chuẩn QCVN trước khi xả ra môi trường.",0.95
"Công ty thực hiện chương trình trồng 50,000 cây xanh tại 10 tỉnh thành, đồng thời hợp tác với các tổ chức môi trường để bảo vệ đa dạng sinh học.",0.88
"Tập đoàn đã chuyển đổi 80% đội xe vận tải sang sử dụng nhiên liệu sinh học và xe điện, góp phần giảm thiểu ô nhiễm không khí đô thị.",0.85
"Nhà máy áp dụng công nghệ sản xuất sạch với hệ thống kiểm soát khí thải thông minh, đạt chứng nhận ISO 14001 về quản lý môi trường.",0.89
"Doanh nghiệp triển khai mô hình kinh tế tuần hoàn, tái chế 95% chất thải sản xuất thành nguyên liệu đầu vào cho quy trình mới.",0.94
"Công ty đã số hóa toàn bộ quy trình làm việc, giảm 70% lượng giấy sử dụng và chuyển sang hệ thống quản lý tài liệu điện tử.",0.78
"Tập đoàn đầu tư vào công nghệ lọc khí thải hiện đại, giảm 60% lượng bụi mịn PM2.5 phát thải ra môi trường xung quanh nhà máy.",0.87
"Doanh nghiệp thực hiện chính sách zero waste to landfill, với 98% chất thải được tái chế hoặc chuyển hóa thành năng lượng.",0.96
"Công ty xây dựng hệ thống thu gom và xử lý khí metan từ hoạt động chăn nuôi, chuyển đổi thành điện năng phục vụ sản xuất.",0.90
"Nhà máy sử dụng 100% năng lượng tái tạo từ gió và mặt trời, đạt mục tiêu carbon neutral trước thời hạn 5 năm.",0.98
"Tập đoàn đầu tư 20 tỷ đồng vào nghiên cứu công nghệ sinh học để sản xuất vật liệu thay thế nhựa từ nguồn nguyên liệu tự nhiên.",0.84
"Doanh nghiệp thực hiện chương trình phục hồi rừng ngập mặn, trồng mới 1000 hecta để bảo vệ bờ biển và đa dạng sinh học.",0.93
"Công ty áp dụng hệ thống quản lý nước thông minh, tiết kiệm 30% lượng nước sử dụng và tái sử dụng nước mưa cho tưới tiêu.",0.81
"Nhà máy lắp đặt hệ thống lọc bụi tĩnh điện công suất cao, đảm bảo nồng độ bụi phát thải thấp hơn 50% so với quy chuẩn.",0.86
"Doanh nghiệp phát triển sản phẩm thân thiện môi trường, sử dụng 100% bao bì có thể tái chế và phân hủy sinh học.",0.83
"Công ty xây dựng khu xử lý chất thải nguy hại đạt chuẩn quốc tế, đảm bảo không có rò rỉ gây ô nhiễm nguồn nước ngầm.",0.91
"Tập đoàn thực hiện đánh giá tác động môi trường định kỳ, công khai kết quả và cam kết cải thiện liên tục các chỉ số môi trường.",0.79
"Nhà máy sử dụng công nghệ AI để tối ưu hóa tiêu thụ năng lượng, giảm 25% lượng điện sử dụng trong quá trình sản xuất.",0.77
"Doanh nghiệp hợp tác với đại học trong dự án nghiên cứu công nghệ carbon capture, hướng tới mục tiêu net-zero emission.",0.88
"Công ty vẫn chưa có kế hoạch cụ thể để giảm phát thải khí nhà kính, mặc dù đã cam kết từ 3 năm trước.",0.23
"Doanh nghiệp tiếp tục sử dụng than đá làm nguồn năng lượng chính cho 70% hoạt động sản xuất mà không có lộ trình chuyển đổi.",0.18
"Tập đoàn chưa đầu tư vào hệ thống xử lý nước thải, gây ra ô nhiễm nguồn nước tại 5 khu vực xung quanh nhà máy.",0.12
"Công ty không tuân thủ đầy đủ các quy định về bảo vệ môi trường, đã bị phạt 15 lần trong năm qua.",0.08
"Nhà máy phát thải vượt ngưỡng cho phép 40%, chưa có biện pháp khắc phục hiệu quả sau 2 năm bị cảnh báo.",0.15
"Doanh nghiệp sử dụng bao bì nhựa không thể tái chế cho 90% sản phẩm, không có kế hoạch thay đổi trong 5 năm tới.",0.28
"Công ty chậm triển khai các dự án năng lượng tái tạo do ưu tiên lợi nhuận ngắn hạn hơn so với cam kết môi trường.",0.35
"Tập đoàn chưa có báo cáo đánh giá tác động môi trường cho các dự án mới, vi phạm quy định quản lý môi trường.",0.20
"Nhà máy xả thải trực tiếp ra sông mà không qua xử lý, gây ô nhiễm nghiêm trọng nguồn nước sinh hoạt của người dân.",0.05
"Doanh nghiệp không công khai thông tin về mức độ phát thải và các tác động môi trường của hoạt động sản xuất.",0.31
"Công ty thiết lập quỹ học bổng 10 tỷ đồng cho sinh viên có hoàn cảnh khó khăn, ưu tiên các ngành khoa học công nghệ và môi trường.",0.86
"Tập đoàn triển khai chương trình đào tạo kỹ năng nghề cho 5000 lao động nông thôn, giúp nâng cao thu nhập và chất lượng cuộc sống.",0.89
"Doanh nghiệp xây dựng 20 trường học và trung tâm y tế tại các vùng sâu vùng xa, cải thiện điều kiện giáo dục và y tế cho cộng đồng.",0.94
"Công ty thực hiện chính sách lương bình đẳng giới, đảm bảo phụ nữ và nam giới nhận mức lương tương đương cho cùng vị trí công việc.",0.87
"Nhà máy đầu tư vào hệ thống an toàn lao động hiện đại, giảm 90% tai nạn lao động và đạt chứng nhận OHSAS 18001.",0.92
"Tập đoàn tạo việc làm cho 15,000 lao động địa phương, ưu tiên tuyển dụng người dân tộc thiểu số và người khuyết tật.",0.85
"Doanh nghiệp thực hiện chương trình hỗ trợ khởi nghiệp cho thanh niên nông thôn với gói vay ưu đãi 100 tỷ đồng.",0.88
"Công ty xây dựng hệ thống chăm sóc sức khỏe toàn diện cho nhân viên, bao gồm khám sức khỏe định kỳ và bảo hiểm y tế cao cấp.",0.83
"Nhà máy thực hiện chính sách phúc lợi linh hoạt, cho phép nhân viên làm việc từ xa và có thời gian nghỉ phép không giới hạn.",0.76
"Tập đoàn đầu tư vào cơ sở hạ tầng giáo dục, xây dựng 50 thư viện công cộng và trung tâm học tập cộng đồng.",0.84
"Doanh nghiệp triển khai chương trình mentoring cho nữ lãnh đạo, nhằm thúc đẩy sự đa dạng và bình đẳng giới trong quản lý.",0.82
"Công ty hỗ trợ nông dân chuyển đổi sang nông nghiệp hữu cơ, cung cấp kỹ thuật và đảm bảo tiêu thụ sản phẩm với giá ổn định.",0.90
"Nhà máy thực hiện chính sách zero tolerance với quấy rối tình dục và phân biệt đối xử, xây dựng môi trường làm việc an toàn.",0.91
"Tập đoàn đầu tư vào nghiên cứu y học, phát triển thuốc điều trị các bệnh hiếm gặp và cung cấp miễn phí cho bệnh nhân nghèo.",0.95
"Doanh nghiệp thực hiện chương trình cung cấp nước sạch miễn phí cho 100,000 người dân vùng khan hiếm nước.",0.93
"Công ty xây dựng mạng lưới nhà thuốc xã hội, bán thuốc với giá gốc cho người có thu nhập thấp.",0.87
"Nhà máy thực hiện chính sách diversity & inclusion, với 40% vị trí lãnh đạo là phụ nữ và 10% là người khuyết tật.",0.86
"Tập đoàn tài trợ 50 tỷ đồng cho các dự án nghiên cứu khoa học phục vụ phát triển bền vững tại các trường đại học.",0.84
"Doanh nghiệp triển khai chương trình đào tạo chuyển đổi số cho 10,000 doanh nghiệp nhỏ và vừa một cách miễn phí.",0.85
"Công ty thực hiện chính sách mua ưu tiên từ nhà cung cấp địa phương và doanh nghiệp xã hội, tạo sinh kế bền vững cho cộng đồng.",0.88
"Doanh nghiệp có tỷ lệ chênh lệch lương giữa nam và nữ lên tới 25%, chưa có kế hoạch cải thiện trong 2 năm tới.",0.22
"Công ty sa thải hàng loạt nhân viên lớn tuổi để thay thế bằng lao động trẻ với mức lương thấp hơn.",0.18
"Tập đoàn không cung cấp bảo hiểm y tế cho nhân viên part-time, chiếm 60% tổng số lao động.",0.26
"Nhà máy có điều kiện làm việc kém an toàn, đã xảy ra 15 tai nạn lao động nghiêm trọng trong năm qua.",0.11
"Doanh nghiệp không có chính sách chống quấy rối tại nơi làm việc, nhiều khiếu nại chưa được giải quyết thỏa đáng.",0.16
"Công ty chưa có bất kỳ chương trình đào tạo và phát triển nghề nghiệp nào cho nhân viên trong 5 năm qua.",0.29
"Tập đoàn từ chối tham gia các hoạt động phúc lợi xã hội, chỉ tập trung vào lợi nhuận cổ đông.",0.14
"Nhà máy không tuân thủ tiêu chuẩn an toàn lao động quốc tế, bị thanh tra phạt 20 lần trong năm.",0.09
"Doanh nghiệp có chính sách phân biệt đối xử với nhân viên dựa trên xuất thân và tôn giáo.",0.07
"Công ty không công khai thông tin về chính sách nhân sự và phúc lợi xã hội đối với các bên liên quan.",0.33
"Hội đồng quản trị có 60% thành viên độc lập và 40% là nữ giới, đảm bảo tính đa dạng và minh bạch trong quản trị.",0.91
"Công ty thực hiện báo cáo ESG hàng quý theo chuẩn GRI, công khai minh bạch tất cả các hoạt động phát triển bền vững.",0.94
"Tập đoàn thiết lập ủy ban đạo đức kinh doanh độc lập, xử lý nghiêm khắc mọi vi phạm về đạo đức và tuân thủ pháp luật.",0.89
"Doanh nghiệp áp dụng hệ thống quản lý rủi ro tích hợp, đánh giá và kiểm soát các rủi ro ESG trong toàn bộ chuỗi cung ứng.",0.87
"Công ty thực hiện chính sách phản hồi stakeholder, tổ chức đối thoại định kỳ với cộng đồng và các bên liên quan.",0.84
"Nhà máy áp dụng hệ thống AI giám sát tuân thủ, tự động phát hiện và cảnh báo các vi phạm quy định về môi trường và an toàn.",0.88
"Tập đoàn thực hiện due diligence nghiêm ngặt về nhân quyền và môi trường đối với tất cả nhà cung cấp và đối tác.",0.92
"Doanh nghiệp công khai 100% thông tin về thuế, không sử dụng các thiên đường thuế và cam kết đóng thuế đúng nơi tạo ra giá trị.",0.93
"Công ty thiết lập đường dây nóng whistleblowing 24/7, bảo vệ quyền lợi người tố cáo và xử lý minh bạch các vi phạm.",0.86
"Nhà máy thực hiện kiểm toán độc lập hàng năm về tuân thủ ESG, công khai kết quả cho tất cả các bên liên quan.",0.85
"Hội đồng quản trị toàn nam giới, không có sự đa dạng về giới tính và độ tuổi trong ban lãnh đạo cao nhất.",0.19
"Công ty không có báo cáo minh bạch về hoạt động ESG, từ chối cung cấp thông tin cho các nhà đầu tư.",0.13
"Tập đoàn có nhiều bê bối về tham nhũng và gian lận tài chính, chưa có biện pháp khắc phục hiệu quả.",0.06
"Doanh nghiệp không tuân thủ các quy định về quản trị công ty, bị cơ quan quản lý cảnh báo nhiều lần.",0.21
"Công ty có cấu trúc sở hữu không minh bạch, các cổ đông lớn can thiệp bất hợp lý vào hoạt động điều hành.",0.25
"Nhà máy không có hệ thống kiểm soát nội bộ hiệu quả, xảy ra nhiều sai phạm trong quản lý tài chính.",0.17
"Tập đoàn từ chối hợp tác với các cơ quan thanh tra, không minh bạch trong việc cung cấp thông tin.",0.12
"Doanh nghiệp có xung đột lợi ích nghiêm trọng giữa ban lãnh đạo và cổ đông thiểu số.",0.15
"Công ty không có chính sách chống tham nhũng rõ ràng, nhiều giao dịch đáng ngờ chưa được làm rõ.",0.10
"Nhà máy thiếu tính độc lập trong hội đồng quản trị, 80% thành viên có quan hệ họ hàng với nhau.",0.23
"Năng lượng tái tạo được sử dụng.",0.72
"Giảm phát thải CO2.",0.84
"Sử dụng bao bì tái chế.",0.79
"Chưa có kế hoạch môi trường.",0.31
"Ô nhiễm nguồn nước.",0.15
"Tỷ lệ tai nạn lao động giảm xuống mức thấp nhất trong 5 năm qua.",0.91
"Chưa có cam kết về việc sử dụng 100% bao bì tái chế hoặc tái sử dụng được.",0.37
"Công ty tổ chức các chiến dịch nâng cao nhận thức về ESG cho khách hàng.",0.80
"Tăng cường bình đẳng giới.",0.82
"Vi phạm an toàn lao động.",0.18
"Minh bạch thông tin tài chính.",0.87
"Thiếu đa dạng lãnh đạo.",0.24
"Hỗ trợ giáo dục cộng đồng.",0.85
"Không tuân thủ quy định.",0.16
"Báo cáo ESG định kỳ.",0.89
"Phân biệt đối xử nhân viên.",0.12
"Đầu tư công nghệ xanh.",0.86
"Từ chối minh bạch thông tin.",0.20
"Chăm sóc sức khỏe nhân viên.",0.83
"Bê bối tham nhũng.",0.08
"Phát triển bền vững.",0.88
"Thiếu chính sách an toàn.",0.22
"Quản trị minh bạch.",0.90
"Xung đột lợi ích.",0.14
"Bảo vệ môi trường.",0.92
"Không có kế hoạch ESG.",0.26
"Phúc lợi nhân viên tốt.",0.81
"Sa thải bất công.",0.19
"Đạo đức kinh doanh cao.",0.94
"Vi phạm pháp luật.",0.11
"Tái chế chất thải.",0.78
"Ô nhiễm nghiêm trọng.",0.09
"Đa dạng và hòa nhập.",0.85
"Quấy rối tại nơi làm việc.",0.13
"Năng lượng sạch 100%.",0.97
"Chậm chuyển đổi xanh.",0.34
"An toàn lao động cao.",0.93
"Điều kiện làm việc kém.",0.17
"Kiểm toán độc lập.",0.86
"Che giấu thông tin.",0.21
"Phát triển nhân tài.",0.84
"Không đầu tư nhân sự.",0.28
"Tuân thủ luật pháp.",0.88
"Gian lận tài chính.",0.07
"Hỗ trợ cộng đồng.",0.90
"Lờ đi trách nhiệm xã hội.",0.25
"Quản lý rủi ro tốt.",0.87
"Thiếu kiểm soát nội bộ.",0.18
"Đổi mới xanh.",0.89
"Kháng cự thay đổi.",0.32
"Lãnh đạo có tầm nhìn.",0.91
"Quản lý yếu kém.",0.23
"Bền vững dài hạn.",0.95
"Chỉ quan tâm lợi nhuận.",0.16
"Văn hóa doanh nghiệp tích cực.",0.83
"Môi trường làm việc độc hại.",0.14
"Đầu tư R&D xanh.",0.86
"Cắt giảm chi phí môi trường.",0.29
"Tương tác tốt với stakeholder.",0.82
"Phớt lờ ý kiến cộng đồng.",0.20
"Chiến lược ESG rõ ràng.",0.88
"Thiếu cam kết bền vững.",0.27
"Đo lường tác động tích cực.",0.85
"Không quan tâm tác động.",0.22
"Cải tiến liên tục.",0.84
"Dừng lại ở hiện trạng.",0.30
"Công ty sử dụng năng lượng mặt trời cho nhà xưởng.",0.85
"Lượng nước thải giảm 10% so với năm trước.",0.75
"Chương trình tái chế giấy được triển khai toàn công ty.",0.80
"Phát thải khí nhà kính vượt mục tiêu đề ra.",0.25
"Chưa có đánh giá tác động môi trường cho dự án mới.",0.30
"Công ty cam kết bảo vệ đa dạng sinh học địa phương.",0.70
"Mức tiêu thụ điện năng vẫn còn cao.",0.40
"Bao bì sản phẩm thân thiện với môi trường hơn.",0.65
"Công ty đã giảm thiểu đáng kể việc sử dụng nhựa một lần.",0.88
"Nguồn cung ứng nguyên liệu chưa đảm bảo tính bền vững.",0.35
"Công ty đạt chứng nhận ISO 14001 về quản lý môi trường.",0.90
"Chất thải nguy hại được xử lý đúng quy trình.",0.82
"Rừng cây do công ty tài trợ phát triển tốt.",0.78
"Công ty chưa có biện pháp ứng phó sự cố tràn hóa chất.",0.20
"Việc sử dụng nước ngầm chưa được kiểm soát chặt chẽ.",0.33
"Công ty đầu tư vào công nghệ xử lý khí thải hiện đại.",0.86
"Kế hoạch giảm phát thải carbon còn chung chung.",0.42
"Nhờ áp dụng quy trình sản xuất tuần hoàn, công ty đã giảm 15% lượng chất thải rắn và tăng tỷ lệ tái sử dụng nguyên liệu lên 30%.",0.92
"Mặc dù đã lắp đặt hệ thống xử lý nước thải tiên tiến, vẫn còn một số chỉ số ô nhiễm đầu ra chưa đạt chuẩn quốc gia.",0.48
"Công ty đã công bố lộ trình chi tiết hướng tới mục tiêu trung hòa carbon vào năm 2040, bao gồm cả việc chuyển đổi sang năng lượng tái tạo và bù đắp carbon.",0.89
"Dự án mở rộng nhà máy đang vấp phải sự phản đối từ cộng đồng địa phương do lo ngại về tác động tiếng ồn và bụi bẩn.",0.28
"Công ty chủ động tham gia các sáng kiến toàn cầu về biến đổi khí hậu, đồng thời chia sẻ kinh nghiệm quản lý rủi ro môi trường với các đối tác.",0.85
"Báo cáo phát triển bền vững hàng năm cho thấy sự cải thiện trong việc quản lý tài nguyên nước, tuy nhiên, mục tiêu về giảm sử dụng hóa chất độc hại vẫn chưa đạt được.",0.60
"Doanh nghiệp đã thay thế toàn bộ đội xe vận tải bằng xe điện, góp phần giảm thiểu ô nhiễm không khí và tiếng ồn tại khu vực hoạt động.",0.94
"Chính sách thu mua ưu tiên các nhà cung cấp có chứng nhận bền vững, nhưng việc kiểm tra và giám sát tuân thủ còn gặp nhiều khó khăn.",0.52
"Công ty đã tiến hành đánh giá vòng đời sản phẩm để xác định các điểm nóng về tác động môi trường, từ đó đưa ra các giải pháp cải tiến thiết kế.",0.77
"Việc khai thác tài nguyên thiên nhiên của công ty chưa được đánh giá đầy đủ về tác động lâu dài đến hệ sinh thái và cộng đồng bản địa.",0.22
"Công ty đã đầu tư một khoản lớn vào nghiên cứu và phát triển các giải pháp năng lượng sạch, kỳ vọng sẽ thương mại hóa trong vài năm tới.",0.81
"Mặc dù có cam kết giảm thiểu rác thải nhựa, công ty vẫn chưa đưa ra được giải pháp thay thế khả thi cho một số loại bao bì chủ lực.",0.38
"Chương trình trồng cây xanh của công ty không chỉ cải thiện cảnh quan mà còn tạo ra hành lang sinh học quan trọng cho các loài động vật nhỏ.",0.79
"Sự cố rò rỉ hóa chất từ kho chứa đã được xử lý kịp thời, tuy nhiên, công ty cần rà soát lại toàn bộ quy trình an toàn để tránh tái diễn.",0.45
"Doanh nghiệp đã thực hiện kiểm kê khí nhà kính theo Scope 1 và Scope 2, đồng thời đang lên kế hoạch cho Scope 3 để có cái nhìn toàn diện hơn.",0.72
"Nỗ lực giảm tiêu thụ năng lượng của công ty bị hạn chế bởi công nghệ sản xuất cũ kỹ, đòi hỏi một kế hoạch đầu tư nâng cấp toàn diện.",0.36
"Công ty tiên phong trong việc áp dụng các tiêu chuẩn xây dựng xanh cho tất cả các cơ sở mới, giúp tiết kiệm năng lượng và nước đáng kể.",0.91
"Báo cáo kiểm kê khí nhà kính của công ty chưa được một bên thứ ba độc lập xác minh, làm giảm tính tin cậy của dữ liệu công bố.",0.32
"Công ty đã triển khai thành công dự án thu gom và tái chế pin đã qua sử dụng từ khách hàng, góp phần giảm thiểu chất thải điện tử nguy hại.",0.87
"Kế hoạch quản lý rủi ro thiên tai của công ty còn sơ sài, chưa tính đến các kịch bản cực đoan do biến đổi khí hậu gây ra.",0.26
"Doanh nghiệp đã giảm được 5% lượng nước sử dụng trên mỗi đơn vị sản phẩm nhờ tối ưu hóa quy trình làm mát và vệ sinh công nghiệp.",0.73
"Việc sử dụng thuốc trừ sâu và phân bón hóa học trong chuỗi cung ứng nông sản của công ty vẫn còn phổ biến, gây lo ngại về an toàn thực phẩm và ô nhiễm đất.",0.29
"Công ty đã tổ chức các buổi đào tạo cho nhân viên về tầm quan trọng của việc tiết kiệm tài nguyên và bảo vệ môi trường tại nơi làm việc.",0.68
"Mặc dù đã có chính sách không sử dụng các loài có nguy cơ tuyệt chủng, việc truy xuất nguồn gốc gỗ trong sản phẩm nội thất vẫn chưa minh bạch.",0.41
"Dự án phục hồi hệ sinh thái rừng ngập mặn do công ty tài trợ đã mang lại lợi ích kép, vừa bảo vệ bờ biển vừa cải thiện sinh kế cho người dân địa phương.",0.93
"Công ty chưa xây dựng được hệ thống theo dõi và báo cáo định kỳ về các chỉ số hiệu suất môi trường quan trọng theo các chuẩn mực quốc tế.",0.31
"Sáng kiến giảm thiểu dấu chân carbon của sản phẩm đã được khách hàng đón nhận tích cực, tạo lợi thế cạnh tranh trên thị trường.",0.83
"Việc xử lý bùn thải từ hệ thống xử lý nước thải của nhà máy vẫn là một thách thức lớn, đòi hỏi giải pháp công nghệ và chi phí đầu tư cao.",0.39
"Công ty đã chuyển đổi thành công 50% nguồn năng lượng sang các nguồn tái tạo như điện gió và điện mặt trời, vượt mục tiêu đề ra cho năm nay.",0.96
"Quy trình đánh giá tác động môi trường và xã hội (ESIA) cho các dự án đầu tư mới được thực hiện một cách nghiêm túc và có sự tham vấn của cộng đồng.",0.84
"Công ty không công khai thông tin về lượng phát thải các chất ô nhiễm không khí khác ngoài CO2, gây khó khăn cho việc đánh giá tổng thể.",0.27
"Chương trình khuyến khích nhân viên sử dụng phương tiện giao thông công cộng hoặc đi chung xe đã góp phần giảm lượng khí thải từ việc đi lại.",0.71
"Doanh nghiệp đã thành lập quỹ môi trường để hỗ trợ các dự án nghiên cứu và ứng dụng công nghệ xanh trong nội bộ và cộng đồng.",0.76
"Tỷ lệ nghỉ việc của nhân viên giảm đáng kể.",0.80
"Công ty đảm bảo trả lương công bằng và cạnh tranh.",0.85
"Chưa có chính sách hỗ trợ nhân viên nữ sau sinh.",0.35
"Tai nạn lao động nghiêm trọng đã xảy ra.",0.10
"Chương trình đào tạo kỹ năng mềm được tổ chức thường xuyên.",0.75
"Công ty tôn trọng quyền tự do hiệp hội của người lao động.",0.82
"Phản hồi của khách hàng về sản phẩm rất tích cực.",0.90
"Dữ liệu cá nhân của khách hàng được bảo mật tốt.",0.88
"Công ty tham gia các hoạt động từ thiện địa phương.",0.70
"Có trường hợp phân biệt đối xử trong tuyển dụng.",0.20
"Sức khỏe và an toàn nghề nghiệp được ưu tiên hàng đầu.",0.91
"Công ty chưa có đối thoại với cộng đồng bị ảnh hưởng.",0.28
"Chương trình chăm sóc sức khỏe nhân viên rất toàn diện.",0.86
"Sản phẩm không đáp ứng tiêu chuẩn an toàn đã bị thu hồi.",0.15
"Công ty khuyến khích sự đa dạng trong đội ngũ nhân sự.",0.78
"Quy trình giải quyết khiếu nại của nhân viên còn chậm.",0.40
"Công ty tạo điều kiện cho người khuyết tật làm việc.",0.81
"Thông qua việc thiết lập các kênh đối thoại cởi mở và minh bạch, công ty đã cải thiện đáng kể mối quan hệ với người lao động và giải quyết kịp thời các mâu thuẫn phát sinh.",0.89
"Mặc dù đã có cam kết về đa dạng và hòa nhập, tỷ lệ phụ nữ giữ vị trí lãnh đạo cấp cao vẫn còn thấp so với mục tiêu đề ra và trung bình ngành.",0.42
"Công ty đã triển khai một chương trình phúc lợi toàn diện, bao gồm bảo hiểm sức khỏe mở rộng, hỗ trợ giữ trẻ và các hoạt động nâng cao đời sống tinh thần cho nhân viên.",0.93
"Một cuộc khảo sát độc lập cho thấy nhiều công nhân tại nhà máy đối tác không được trả lương làm thêm giờ đúng quy định, đặt ra vấn đề về giám sát chuỗi cung ứng.",0.25
"Doanh nghiệp chủ động đầu tư vào các chương trình phát triển cộng đồng tại những nơi có hoạt động sản xuất kinh doanh, tập trung vào giáo dục và y tế.",0.87
"Chính sách bảo vệ dữ liệu khách hàng của công ty được xây dựng theo tiêu chuẩn GDPR, tuy nhiên việc đào tạo nhân viên về tuân thủ cần được tăng cường.",0.65
"Công ty đã thiết lập một đường dây nóng ẩn danh để nhân viên báo cáo các hành vi vi phạm đạo đức hoặc quấy rối, đảm bảo tính bảo mật và xử lý công bằng.",0.90
"Việc tự động hóa một số dây chuyền sản xuất đã dẫn đến lo ngại về mất việc làm trong công nhân, đòi hỏi công ty phải có kế hoạch đào tạo lại và tái bố trí nhân sự phù hợp.",0.48
"Sản phẩm mới của công ty được thiết kế với các tính năng an toàn vượt trội, đáp ứng và vượt qua các tiêu chuẩn ngành, nhận được đánh giá cao từ người tiêu dùng.",0.95
"Công ty chưa có cơ chế tham vấn ý kiến của các cộng đồng bản địa bị ảnh hưởng bởi dự án khai thác tài nguyên, dẫn đến nguy cơ xung đột lợi ích.",0.22
"Chương trình cố vấn (mentorship) đã giúp nhiều nhân viên trẻ phát triển sự nghiệp và tăng cường sự gắn kết với tổ chức.",0.83
"Mặc dù công ty báo cáo không có lao động trẻ em trong chuỗi cung ứng trực tiếp, việc kiểm toán các nhà cung cấp cấp thấp hơn vẫn chưa được thực hiện triệt để.",0.39
"Công ty đã thành lập quỹ học bổng cho con em nhân viên có hoàn cảnh khó khăn, thể hiện sự quan tâm đến thế hệ tương lai.",0.79
"Sau sự cố thu hồi sản phẩm, công ty đã rà soát và cải tiến toàn bộ quy trình kiểm soát chất lượng, đồng thời công khai xin lỗi người tiêu dùng.",0.55
"Doanh nghiệp đảm bảo tất cả nhân viên, bao gồm cả lao động thời vụ và hợp đồng, đều được hưởng các quyền lợi cơ bản và điều kiện làm việc an toàn.",0.86
"Các chiến dịch tiếp thị của công ty đôi khi sử dụng những hình ảnh gây tranh cãi, chưa thể hiện sự nhạy cảm về văn hóa và giới tính.",0.33
"Công ty đã tổ chức các khóa đào tạo về phòng chống quấy rối tình dục tại nơi làm việc cho toàn bộ nhân viên và quản lý các cấp.",0.81
"Quy trình tuyển dụng còn mang tính chủ quan, chưa có các tiêu chí rõ ràng để đánh giá ứng viên dựa trên năng lực và sự phù hợp, dễ dẫn đến thiên vị.",0.30
"Doanh nghiệp đã xây dựng mối quan hệ đối tác lâu dài với các tổ chức xã hội địa phương để triển khai các dự án phát triển bền vững mang lại tác động tích cực.",0.92
"Việc thiếu vắng đại diện của người lao động trong các cuộc họp quan trọng liên quan đến tái cấu trúc công ty đã gây ra sự bất bình trong nội bộ.",0.27
"Công ty cung cấp các lựa chọn làm việc linh hoạt như làm việc từ xa hoặc giờ làm việc linh động, giúp nhân viên cân bằng tốt hơn giữa công việc và cuộc sống.",0.84
"Chưa có bằng chứng cho thấy công ty thực hiện thẩm định nhân quyền một cách có hệ thống đối với các hoạt động đầu tư và chuỗi cung ứng ở các quốc gia có rủi ro cao.",0.23
"Chương trình 'Ngày hội gia đình' hàng năm không chỉ tăng cường sự gắn kết giữa các nhân viên mà còn thể hiện sự trân trọng của công ty đối với gia đình họ.",0.77
